created_at;author.username;text
13-08-2016 22:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/zkoQtF4qHB Thanks to @jaran_13 @eleheceachehe @Marccella85 #rio2016 #nomásafp
12-08-2016 19:58;lagosriederer;No mas AFP´s https://t.co/DsUjp9dvnO
12-08-2016 16:18;ccu_federacion;Retweeted Nino Mundaca #AC (@Nino_Mundaca):\n\nLas comisiones fantasmas de las #AFP son millones #NOMasAFP RT... https://t.co/xxYzsAel0e
11-08-2016 16:22;Nino_Mundaca;Las comisiones fantasmas de las #AFP son millones #NOMasAFP RT @Sindical_cl @sidarte_chile @sifup @SilWalmart #Chile https://t.co/pgYyRH2kCd
11-08-2016 15:23;Editha_Rojas;no mas afp en chile - Buscar con Google https://t.co/od0tTco27R
11-08-2016 10:59;kittygatamia;#NOMasAFP #villalemana junto a la lucha https://t.co/F0wYv8Y5et
11-08-2016 9:45;andresmahn;The latest El Tweetero! https://t.co/wwK1qVMWom #nomasafp #rio2016
11-08-2016 7:38;Edu_Enduro;@ximerincon cantinfleando en #t13am… impresionante!!!\n\n#NoMasAFP\n#FelizJueves \n#CacerolazoAFP\n#TuManana
11-08-2016 5:01;World_Info_News;The latest El Noticias del mundo Diario! https://t.co/Fr2csoCecg Thanks to @sholecita @Ed_Mercado @jcastro24 #cacerolazoafp #nomasafp
11-08-2016 0:03;Vicmarfe;Y en Chile #NOMasAFP !!! https://t.co/4TdRysCrVW
10-08-2016 22:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/fmIMFJpQ2Q Thanks to @luchogarciah @eduardogonzalo @ChillanOnline #nomasafp #nomasafps
10-08-2016 19:30;mariela2770;The latest Libertad para Expresarse! https://t.co/Q1Aoo4jeC4 Thanks to @corphumanas @mcliomm @AfaKiosco #nomasafp #perunews
10-08-2016 19:27;valykamilo;Q suene! #NOMasAFP https://t.co/Fd6CBsBJHW
10-08-2016 0:13;quintanamatico;¡ Cagamos ! #NOMasAFP https://t.co/xvEYUb41ah
07-08-2016 22:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/BSd2tNxgtF Thanks to @Marccella85 @Natalia_Jotave @jaran_13 #rio2016 #nomasafp
07-08-2016 19:18;clausaavedra;Terrible realidad #NoMasAFP  https://t.co/iYYgmI1j9j
06-08-2016 22:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/aIcO0sL7z8 Thanks to @aleexjaqui @Hecgonq @JulioStgoCentro #nomasafp #aniversariocrea
06-08-2016 1:15;Cerrillando1980;y faltan millones !\n#NoMasAFP https://t.co/iJH34nkdKi
05-08-2016 9:41;Huenuan77;#NOMasAFP Quien..? https://t.co/AR4etaZrKj
05-08-2016 8:47;cotejerezfuica;Defender lo indefendible @josepinera .... #NOMasAFP ????
04-08-2016 18:43;OtroCucho;Expectativa vs realidad.    #NOMasAFP https://t.co/ZKUs314jf5
04-08-2016 18:41;AndresRodAlf;@biobio #NoMasAfp ¡¡por favor!!
04-08-2016 18:08;mestizomapuche;A quienes financian las AFPS??.. #NOMasAFP  https://t.co/AFjEbPG3XD
04-08-2016 11:34;octavioleiva1;No mas AFP y .
03-08-2016 21:06;IroNSheWolf;Q le diremos?? #NOMasAFP #Empoderate Chile https://t.co/vs37SZI8xo
01-08-2016 20:52;a_andrade_m;Yo me sumo! #YoMarcho #NOMasAFP!! https://t.co/57T3WjW4yh
31-07-2016 22:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/zzuQQvXldr Thanks to @Karilo23Rojas @Marccella85 @liz_anhm #nomasafp #nomasafps
31-07-2016 19:30;mariela2770;The latest Libertad para Expresarse! https://t.co/kXmwDQTDou Thanks to @AfaKiosco @MovilizateChile @Marco_Cerdio #perunews #nomasafp
31-07-2016 0:58;revistaBar_cl;The latest revistaBar_cl! https://t.co/XOceBx7mTw #josepiñera #nomásafp
30-07-2016 18:54;envalparaiso;Retweeted #NoMasAFP (@ccarrilloc):\n\nRevisa #CafeNoVip Pronto muestra!! @elmartutino @envalparaiso @artistasuna... https://t.co/q8P1iYy39J
29-07-2016 22:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/bwI31rHeeL Thanks to @marxismo_cl @eduardogonzalo @Amras_Anarion #chillanonline #nomasafp
28-07-2016 18:05;Duverlyexequiel;Sonrientes y campantes #NOMasAFP https://t.co/din7wNUQfs
27-07-2016 22:10;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/t4KXUmFYKw Thanks to @IvanRTobarB @pelucheduenas @jimenajorquera #chillanonline #nomasafp
27-07-2016 8:10;IroNSheWolf;A quien le parece justo?  No mas #AFP #EmpoderateChile ?? https://t.co/I57TmpVMNQ
26-07-2016 22:55;alejoferrada;Notecreo. #AFP #nomasafp https://t.co/sTzu1iWy6q
25-07-2016 22:25;ffuentes_;Por favor leer #nomasafp #CiudadanosCNN https://t.co/Qgtsfu1cOB
25-07-2016 22:11;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/2nUp6dEeY4 Thanks to @humanoide_sss @AFielbaum @papurri_pop #nomasafps #nomasafp
25-07-2016 17:12;berniap;En Chile las pensiones son un #negocio #NOMasAfps #nomasafp??? #previsión #dignidad #sudamérica https://t.co/A8AO34BtZE
25-07-2016 14:51;SebaMendezM;#24horas Defendiendo lo indefendible  #NoMasAFP
25-07-2016 12:35;Gasparopeters;#nomasafp ? Por facebook no sirve la lucha.
25-07-2016 9:13;lilinaonline;@matinaldechv explicando lo inexplicable #NoMasAFP
24-07-2016 22:08;TheCatPawer;The latest El Diario de El Mendoza! https://t.co/V4z2V5OrTD Thanks to @Aeshmanicole @SindicatoCDF @LaRedTV #nomasafps #nomasafp
24-07-2016 21:56;zonalacustre;The latest noticias que pueden interesarte! https://t.co/U6lKXojGyN Thanks to @leondelpedregal @carmenroma3 @FcoVK #nomasafps #nomasafp
24-07-2016 21:43;princess_kpars;#nomasafp quillota @ Quillota, Chile https://t.co/v0wWxVrEze
24-07-2016 21:39;princess_kpars;No mas afp. Quillota @ Quillota, Chile https://t.co/MrMURbIyZG
24-07-2016 20:45;princess_kpars;#ahoranoticiasmega #24horas marcha no mas afp. Quillota @ Quillota, Chile https://t.co/72mzdR8Uw7
24-07-2016 20:41;princess_kpars;Marcha no mas afp. Quillota @ Quillota, Chile https://t.co/Koc95BrRcN
24-07-2016 20:14;holaiquique;Retweeted Carlos Araya Torres (@arayacarlos):\n\nMarchando en #Iquique #nomasafp #chile https://t.co/cUQ0DSA8s5 https://t.co/xgeDJSycmD
24-07-2016 19:37;Tapalca54;Chile en las calles\n#NoMasAFP https://t.co/l1o4s7YEaQ
24-07-2016 17:07;car0_Araya;Simple, todo Chile dice #NoMasAFP https://t.co/5YnyqmiRBM
24-07-2016 16:59;Chico_Diaz;https://t.co/j1V80Iv8ys NO MAS AFP Favor RT @mipeAravena @FcoPlazaG @lafundacionsol @biobio @el_dinamo @ElEmpoderado @QUIGLORY @julietvillac
24-07-2016 16:21;CieloAustralCoq;X todas partes, somos miles diciendo #NOMasAFP  @chileconvoca @Chileokulto https://t.co/3x29L7fVjI
24-07-2016 16:12;Latin_Bitman;NO MAS AFP ???? CHILE!!
24-07-2016 16:10;Pablito_lo_hace;Somos miles! #nomasafp ! https://t.co/N2KAWX0z5S
24-07-2016 15:04;ciberviviente;The latest El CIBERVIVIENTE Diario! https://t.co/UI2G2UlNYC Thanks to @tan_al @alesaras @buscadormistico #nomasafps #nomasafp
24-07-2016 14:11;Maca_Ponce;Marchando #NOMasAFP https://t.co/1ad8xnux3n
24-07-2016 14:11;Maca_Ponce;Marchando #NOMasAFP https://t.co/Dc1zZIIY5u
24-07-2016 14:06;etarsettiq;#NomasAFP marchando https://t.co/NnrBKJ6JbV
24-07-2016 14:01;jmarroquing;#Iquique, #altohospicio y toda #Tarapaca  dicen #NomasAFP https://t.co/ICrBstIm6y
24-07-2016 14:00;HRVV;Todas las expresiones e ideas #NOMasAFPs #NOMasAFP https://t.co/8E2TqpoFhV
24-07-2016 13:48;LizMiaaau;#NoMásAFP ? @ Plaza Los Heroes https://t.co/3qR7gjZ2nf
24-07-2016 13:46;HRVV;Todas las expresiones #nomasAFP https://t.co/SflosWryu7
24-07-2016 13:37;Bernardo_E;The latest El Diario de Bernardo Escobar Ll.! https://t.co/pgkWFO7NXA Thanks to @cuervogirard @maricocina @andreasm32 #nomasafp
24-07-2016 13:37;Mounstrosity;#NoMasAfp @ Plaza Los Heroes https://t.co/MNDVDRrBI0
24-07-2016 13:18;v_dottone;Marchando!! #NomasAFP #Santiago https://t.co/2Ndi7XlpUD
24-07-2016 13:14;BasstianV;#NoMasAFP #MarchaFamiliar @ Plaza Los Heroes https://t.co/xAydo8Q3dc
24-07-2016 13:06;MiiLa_Paz;#marcha #nomasafp @ Plaza Los Heroes https://t.co/ax1CE2aQDT
24-07-2016 13:02;arayacarlos;Marchando en #Iquique #nomasafp #chile https://t.co/oymxhKg78a
24-07-2016 12:59;ToTaCo;#nomasafp @ Plaza Los Heroes https://t.co/4IyoKnjaQk
24-07-2016 12:59;ToTaCo;#nomasafp ???? @ Plaza Los Heroes https://t.co/1HmGB6HAFt
24-07-2016 12:56;millaray_;#Concepcion dice #NomasAFP En CHILE! https://t.co/AW9WOAxmDN
